line_item,period,value,symbol
Diluted NI Availto Com Stockholders,2023-03-31 00:00:00,127586000.0,SAKAR.NS
Net Income Common Stockholders,2023-03-31 00:00:00,127586000.0,SAKAR.NS
Otherunder Preferred Stock Dividend,2023-03-31 00:00:00,0.0,SAKAR.NS
Net Income,2023-03-31 00:00:00,127586000.0,SAKAR.NS
Minority Interests,2023-03-31 00:00:00,0.0,SAKAR.NS
Net Income Including Noncontrolling Interests,2023-03-31 00:00:00,127586000.0,SAKAR.NS
Net Income Discontinuous Operations,2023-03-31 00:00:00,0.0,SAKAR.NS
Net Income Continuous Operations,2023-03-31 00:00:00,127586000.0,SAKAR.NS
Tax Provision,2023-03-31 00:00:00,41175000.0,SAKAR.NS
Pretax Income,2023-03-31 00:00:00,168761000.0,SAKAR.NS
Other Non Operating Income Expenses,2023-03-31 00:00:00,46748000.0,SAKAR.NS
Special Income Charges,2023-03-31 00:00:00,-1202000.0,SAKAR.NS
Other Special Charges,2023-03-31 00:00:00,51000.0,SAKAR.NS
Write Off,2023-03-31 00:00:00,1151000.0,SAKAR.NS
Net Non Operating Interest Income Expense,2023-03-31 00:00:00,-56967000.0,SAKAR.NS
Total Other Finance Cost,2023-03-31 00:00:00,4750000.0,SAKAR.NS
Interest Expense Non Operating,2023-03-31 00:00:00,54875000.0,SAKAR.NS
Interest Income Non Operating,2023-03-31 00:00:00,2658000.0,SAKAR.NS
Operating Income,2023-03-31 00:00:00,191168000.0,SAKAR.NS
Operating Expense,2023-03-31 00:00:00,404483000.0,SAKAR.NS
Other Operating Expenses,2023-03-31 00:00:00,75680000.0,SAKAR.NS
Depreciation And Amortization In Income Statement,2023-03-31 00:00:00,149860000.0,SAKAR.NS
Amortization,2023-03-31 00:00:00,0.0,SAKAR.NS
Depreciation Income Statement,2023-03-31 00:00:00,149860000.0,SAKAR.NS
Research And Development,2023-03-31 00:00:00,7452000.0,SAKAR.NS
Selling General And Administration,2023-03-31 00:00:00,12146000.0,SAKAR.NS
Selling And Marketing Expense,2023-03-31 00:00:00,276000.0,SAKAR.NS
General And Administrative Expense,2023-03-31 00:00:00,11870000.0,SAKAR.NS
Gross Profit,2023-03-31 00:00:00,595651000.0,SAKAR.NS
Cost Of Revenue,2023-03-31 00:00:00,737939000.0,SAKAR.NS
Total Revenue,2023-03-31 00:00:00,1333590000.0,SAKAR.NS
Operating Revenue,2023-03-31 00:00:00,1333590000.0,SAKAR.NS
Tax Effect Of Unusual Items,2022-03-31 00:00:00,123414.169898,SAKAR.NS
Tax Rate For Calcs,2022-03-31 00:00:00,0.198097,SAKAR.NS
Normalized EBITDA,2022-03-31 00:00:00,312009000.0,SAKAR.NS
Total Unusual Items,2022-03-31 00:00:00,623000.0,SAKAR.NS
Total Unusual Items Excluding Goodwill,2022-03-31 00:00:00,623000.0,SAKAR.NS
Net Income From Continuing Operation Net Minority Interest,2022-03-31 00:00:00,152425000.0,SAKAR.NS
Reconciled Depreciation,2022-03-31 00:00:00,80583000.0,SAKAR.NS
Reconciled Cost Of Revenue,2022-03-31 00:00:00,748143000.0,SAKAR.NS
EBITDA,2022-03-31 00:00:00,312632000.0,SAKAR.NS
EBIT,2022-03-31 00:00:00,215958000.0,SAKAR.NS
Net Interest Income,2022-03-31 00:00:00,-29099000.0,SAKAR.NS
Interest Expense,2022-03-31 00:00:00,25879000.0,SAKAR.NS
Interest Income,2022-03-31 00:00:00,0.0,SAKAR.NS
Normalized Income,2022-03-31 00:00:00,151925414.169898,SAKAR.NS
Net Income From Continuing And Discontinued Operation,2022-03-31 00:00:00,152425000.0,SAKAR.NS
Total Expenses,2022-03-31 00:00:00,1075888000.0,SAKAR.NS
Diluted Average Shares,2022-03-31 00:00:00,15100000.0,SAKAR.NS
Basic Average Shares,2022-03-31 00:00:00,15100000.0,SAKAR.NS
Diluted EPS,2022-03-31 00:00:00,10.094371,SAKAR.NS
Basic EPS,2022-03-31 00:00:00,10.094371,SAKAR.NS
Diluted NI Availto Com Stockholders,2022-03-31 00:00:00,152425000.0,SAKAR.NS
Net Income Common Stockholders,2022-03-31 00:00:00,152425000.0,SAKAR.NS
Otherunder Preferred Stock Dividend,2022-03-31 00:00:00,0.0,SAKAR.NS
Net Income,2022-03-31 00:00:00,152425000.0,SAKAR.NS
Minority Interests,2022-03-31 00:00:00,0.0,SAKAR.NS
Net Income Including Noncontrolling Interests,2022-03-31 00:00:00,152425000.0,SAKAR.NS
Net Income Discontinuous Operations,2022-03-31 00:00:00,0.0,SAKAR.NS
Net Income Continuous Operations,2022-03-31 00:00:00,152425000.0,SAKAR.NS
Tax Provision,2022-03-31 00:00:00,37654000.0,SAKAR.NS
Pretax Income,2022-03-31 00:00:00,190079000.0,SAKAR.NS
Other Non Operating Income Expenses,2022-03-31 00:00:00,562000.0,SAKAR.NS
Special Income Charges,2022-03-31 00:00:00,0.0,SAKAR.NS
Other Special Charges,2022-03-31 00:00:00,,SAKAR.NS
Write Off,2022-03-31 00:00:00,0.0,SAKAR.NS
Net Non Operating Interest Income Expense,2022-03-31 00:00:00,-29099000.0,SAKAR.NS
Total Other Finance Cost,2022-03-31 00:00:00,3220000.0,SAKAR.NS
Interest Expense Non Operating,2022-03-31 00:00:00,25879000.0,SAKAR.NS
Interest Income Non Operating,2022-03-31 00:00:00,0.0,SAKAR.NS
Operating Income,2022-03-31 00:00:00,206379000.0,SAKAR.NS
Operating Expense,2022-03-31 00:00:00,327745000.0,SAKAR.NS
Other Operating Expenses,2022-03-31 00:00:00,77646000.0,SAKAR.NS
Depreciation And Amortization In Income Statement,2022-03-31 00:00:00,96674000.0,SAKAR.NS
Amortization,2022-03-31 00:00:00,7302000.0,SAKAR.NS
Depreciation Income Statement,2022-03-31 00:00:00,89372000.0,SAKAR.NS
Research And Development,2022-03-31 00:00:00,1140000.0,SAKAR.NS
Selling General And Administration,2022-03-31 00:00:00,9010000.0,SAKAR.NS
Selling And Marketing Expense,2022-03-31 00:00:00,223000.0,SAKAR.NS
General And Administrative Expense,2022-03-31 00:00:00,8787000.0,SAKAR.NS
Gross Profit,2022-03-31 00:00:00,534124000.0,SAKAR.NS
Cost Of Revenue,2022-03-31 00:00:00,748143000.0,SAKAR.NS
Total Revenue,2022-03-31 00:00:00,1282267000.0,SAKAR.NS
Operating Revenue,2022-03-31 00:00:00,1282267000.0,SAKAR.NS
Tax Effect Of Unusual Items,2021-03-31 00:00:00,0.0,SAKAR.NS
Tax Rate For Calcs,2021-03-31 00:00:00,0.19272,SAKAR.NS
Normalized EBITDA,2021-03-31 00:00:00,214644000.0,SAKAR.NS
Total Unusual Items,2021-03-31 00:00:00,0.0,SAKAR.NS
Total Unusual Items Excluding Goodwill,2021-03-31 00:00:00,0.0,SAKAR.NS
Net Income From Continuing Operation Net Minority Interest,2021-03-31 00:00:00,106825000.0,SAKAR.NS
Reconciled Depreciation,2021-03-31 00:00:00,80583000.0,SAKAR.NS
Reconciled Cost Of Revenue,2021-03-31 00:00:00,514933000.0,SAKAR.NS
EBITDA,2021-03-31 00:00:00,214644000.0,SAKAR.NS
EBIT,2021-03-31 00:00:00,134061000.0,SAKAR.NS
Net Interest Income,2021-03-31 00:00:00,-24785000.0,SAKAR.NS
Interest Expense,2021-03-31 00:00:00,1734000.0,SAKAR.NS
Interest Income,2021-03-31 00:00:00,163000.0,SAKAR.NS
Normalized Income,2021-03-31 00:00:00,106825000.0,SAKAR.NS
Net Income From Continuing And Discontinued Operation,2021-03-31 00:00:00,106825000.0,SAKAR.NS
Total Expenses,2021-03-31 00:00:00,796147000.0,SAKAR.NS
Diluted Average Shares,2021-03-31 00:00:00,150760.0,SAKAR.NS
Basic Average Shares,2021-03-31 00:00:00,150760.0,SAKAR.NS
Diluted EPS,2021-03-31 00:00:00,708.576546,SAKAR.NS
Basic EPS,2021-03-31 00:00:00,708.576546,SAKAR.NS
Diluted NI Availto Com Stockholders,2021-03-31 00:00:00,106825000.0,SAKAR.NS
Net Income Common Stockholders,2021-03-31 00:00:00,106825000.0,SAKAR.NS
Otherunder Preferred Stock Dividend,2021-03-31 00:00:00,0.0,SAKAR.NS
Net Income,2021-03-31 00:00:00,106825000.0,SAKAR.NS
Minority Interests,2021-03-31 00:00:00,,SAKAR.NS
Net Income Including Noncontrolling Interests,2021-03-31 00:00:00,106825000.0,SAKAR.NS
Net Income Discontinuous Operations,2021-03-31 00:00:00,,SAKAR.NS
Net Income Continuous Operations,2021-03-31 00:00:00,106825000.0,SAKAR.NS
Tax Provision,2021-03-31 00:00:00,25502000.0,SAKAR.NS
Pretax Income,2021-03-31 00:00:00,132327000.0,SAKAR.NS
Other Non Operating Income Expenses,2021-03-31 00:00:00,15000.0,SAKAR.NS
Special Income Charges,2021-03-31 00:00:00,0.0,SAKAR.NS
Other Special Charges,2021-03-31 00:00:00,,SAKAR.NS
Write Off,2021-03-31 00:00:00,,SAKAR.NS
Net Non Operating Interest Income Expense,2021-03-31 00:00:00,-24785000.0,SAKAR.NS
Total Other Finance Cost,2021-03-31 00:00:00,23214000.0,SAKAR.NS
Interest Expense Non Operating,2021-03-31 00:00:00,1734000.0,SAKAR.NS
Interest Income Non Operating,2021-03-31 00:00:00,163000.0,SAKAR.NS
Operating Income,2021-03-31 00:00:00,151246000.0,SAKAR.NS
Operating Expense,2021-03-31 00:00:00,281214000.0,SAKAR.NS
