line_item,period,value,symbol
Net Income,2022-03-31 00:00:00,17479000.0,SPCL.NS
Net Income Including Noncontrolling Interests,2022-03-31 00:00:00,17480000.0,SPCL.NS
Net Income Continuous Operations,2022-03-31 00:00:00,17480000.0,SPCL.NS
Tax Provision,2022-03-31 00:00:00,1638000.0,SPCL.NS
Pretax Income,2022-03-31 00:00:00,19118000.0,SPCL.NS
Other Non Operating Income Expenses,2022-03-31 00:00:00,628000.0,SPCL.NS
Special Income Charges,2022-03-31 00:00:00,-119000.0,SPCL.NS
Other Special Charges,2022-03-31 00:00:00,,SPCL.NS
Write Off,2022-03-31 00:00:00,119000.0,SPCL.NS
Net Non Operating Interest Income Expense,2022-03-31 00:00:00,-21226000.0,SPCL.NS
Total Other Finance Cost,2022-03-31 00:00:00,1340000.0,SPCL.NS
Interest Expense Non Operating,2022-03-31 00:00:00,20082000.0,SPCL.NS
Interest Income Non Operating,2022-03-31 00:00:00,196000.0,SPCL.NS
Operating Income,2022-03-31 00:00:00,39835000.0,SPCL.NS
Operating Expense,2022-03-31 00:00:00,44039000.0,SPCL.NS
Other Operating Expenses,2022-03-31 00:00:00,7483000.0,SPCL.NS
Depreciation And Amortization In Income Statement,2022-03-31 00:00:00,10690000.0,SPCL.NS
Depreciation Income Statement,2022-03-31 00:00:00,10690000.0,SPCL.NS
Selling General And Administration,2022-03-31 00:00:00,4146000.0,SPCL.NS
Selling And Marketing Expense,2022-03-31 00:00:00,2567000.0,SPCL.NS
General And Administrative Expense,2022-03-31 00:00:00,1579000.0,SPCL.NS
Rent And Landing Fees,2022-03-31 00:00:00,0.0,SPCL.NS
Gross Profit,2022-03-31 00:00:00,83874000.0,SPCL.NS
Cost Of Revenue,2022-03-31 00:00:00,489446000.0,SPCL.NS
Total Revenue,2022-03-31 00:00:00,573320000.0,SPCL.NS
Operating Revenue,2022-03-31 00:00:00,573320000.0,SPCL.NS
Tax Effect Of Unusual Items,2021-03-31 00:00:00,-652015.746606,SPCL.NS
Tax Rate For Calcs,2021-03-31 00:00:00,0.391131,SPCL.NS
Normalized EBITDA,2021-03-31 00:00:00,49547000.0,SPCL.NS
Total Unusual Items,2021-03-31 00:00:00,-1667000.0,SPCL.NS
Total Unusual Items Excluding Goodwill,2021-03-31 00:00:00,-1667000.0,SPCL.NS
Net Income From Continuing Operation Net Minority Interest,2021-03-31 00:00:00,6728000.0,SPCL.NS
Reconciled Depreciation,2021-03-31 00:00:00,12747000.0,SPCL.NS
Reconciled Cost Of Revenue,2021-03-31 00:00:00,436673000.0,SPCL.NS
EBITDA,2021-03-31 00:00:00,47880000.0,SPCL.NS
EBIT,2021-03-31 00:00:00,35133000.0,SPCL.NS
Net Interest Income,2021-03-31 00:00:00,-27221000.0,SPCL.NS
Interest Expense,2021-03-31 00:00:00,24083000.0,SPCL.NS
Interest Income,2021-03-31 00:00:00,736000.0,SPCL.NS
Normalized Income,2021-03-31 00:00:00,7742984.253394,SPCL.NS
Net Income From Continuing And Discontinued Operation,2021-03-31 00:00:00,6728000.0,SPCL.NS
Total Expenses,2021-03-31 00:00:00,483126000.0,SPCL.NS
Rent Expense Supplemental,2021-03-31 00:00:00,0.0,SPCL.NS
Diluted Average Shares,2021-03-31 00:00:00,24115754.0,SPCL.NS
Basic Average Shares,2021-03-31 00:00:00,24115754.0,SPCL.NS
Diluted EPS,2021-03-31 00:00:00,0.278988,SPCL.NS
Basic EPS,2021-03-31 00:00:00,0.278988,SPCL.NS
Diluted NI Availto Com Stockholders,2021-03-31 00:00:00,6728000.0,SPCL.NS
Net Income Common Stockholders,2021-03-31 00:00:00,6728000.0,SPCL.NS
