line_item,period,value,symbol
Basic Average Shares,2023-03-31 00:00:00,16423908.0,ANNAPURNA.NS
Diluted EPS,2023-03-31 00:00:00,4.35,ANNAPURNA.NS
Basic EPS,2023-03-31 00:00:00,4.35,ANNAPURNA.NS
Diluted NI Availto Com Stockholders,2023-03-31 00:00:00,71444000.0,ANNAPURNA.NS
Net Income Common Stockholders,2023-03-31 00:00:00,71444000.0,ANNAPURNA.NS
Otherunder Preferred Stock Dividend,2023-03-31 00:00:00,0.0,ANNAPURNA.NS
Net Income,2023-03-31 00:00:00,71444000.0,ANNAPURNA.NS
Net Income Including Noncontrolling Interests,2023-03-31 00:00:00,71444000.0,ANNAPURNA.NS
Net Income Discontinuous Operations,2023-03-31 00:00:00,,ANNAPURNA.NS
Net Income Continuous Operations,2023-03-31 00:00:00,71444000.0,ANNAPURNA.NS
Tax Provision,2023-03-31 00:00:00,28371000.0,ANNAPURNA.NS
Pretax Income,2023-03-31 00:00:00,99815000.0,ANNAPURNA.NS
Other Non Operating Income Expenses,2023-03-31 00:00:00,4640000.0,ANNAPURNA.NS
Special Income Charges,2023-03-31 00:00:00,0.0,ANNAPURNA.NS
Net Non Operating Interest Income Expense,2023-03-31 00:00:00,-17415000.0,ANNAPURNA.NS
Total Other Finance Cost,2023-03-31 00:00:00,2397000.0,ANNAPURNA.NS
Interest Expense Non Operating,2023-03-31 00:00:00,17415000.0,ANNAPURNA.NS
Interest Income Non Operating,2023-03-31 00:00:00,3778000.0,ANNAPURNA.NS
Operating Income,2023-03-31 00:00:00,112590000.0,ANNAPURNA.NS
Operating Expense,2023-03-31 00:00:00,408051000.0,ANNAPURNA.NS
Other Operating Expenses,2023-03-31 00:00:00,333562000.0,ANNAPURNA.NS
Depreciation And Amortization In Income Statement,2023-03-31 00:00:00,18207000.0,ANNAPURNA.NS
Amortization,2023-03-31 00:00:00,117000.0,ANNAPURNA.NS
Depreciation Income Statement,2023-03-31 00:00:00,18207000.0,ANNAPURNA.NS
Selling General And Administration,2023-03-31 00:00:00,203075000.0,ANNAPURNA.NS
Selling And Marketing Expense,2023-03-31 00:00:00,172148000.0,ANNAPURNA.NS
General And Administrative Expense,2023-03-31 00:00:00,30927000.0,ANNAPURNA.NS
Rent And Landing Fees,2023-03-31 00:00:00,18387000.0,ANNAPURNA.NS
Gross Profit,2023-03-31 00:00:00,520641000.0,ANNAPURNA.NS
Cost Of Revenue,2023-03-31 00:00:00,1081108000.0,ANNAPURNA.NS
Total Revenue,2023-03-31 00:00:00,1601749000.0,ANNAPURNA.NS
Operating Revenue,2023-03-31 00:00:00,1601749000.0,ANNAPURNA.NS
Tax Effect Of Unusual Items,2021-03-31 00:00:00,0.0,ANNAPURNA.NS
Tax Rate For Calcs,2021-03-31 00:00:00,0.355396,ANNAPURNA.NS
Normalized EBITDA,2021-03-31 00:00:00,14407000.0,ANNAPURNA.NS
Total Unusual Items,2021-03-31 00:00:00,0.0,ANNAPURNA.NS
Total Unusual Items Excluding Goodwill,2021-03-31 00:00:00,0.0,ANNAPURNA.NS
Net Income From Continuing Operation Net Minority Interest,2021-03-31 00:00:00,5113000.0,ANNAPURNA.NS
Reconciled Depreciation,2021-03-31 00:00:00,4513000.0,ANNAPURNA.NS
Reconciled Cost Of Revenue,2021-03-31 00:00:00,165664000.0,ANNAPURNA.NS
EBITDA,2021-03-31 00:00:00,14407000.0,ANNAPURNA.NS
EBIT,2021-03-31 00:00:00,9894000.0,ANNAPURNA.NS
Net Interest Income,2021-03-31 00:00:00,-2370000.0,ANNAPURNA.NS
Interest Expense,2021-03-31 00:00:00,1962000.0,ANNAPURNA.NS
Interest Income,2021-03-31 00:00:00,15000.0,ANNAPURNA.NS
Normalized Income,2021-03-31 00:00:00,5113000.0,ANNAPURNA.NS
Net Income From Continuing And Discontinued Operation,2021-03-31 00:00:00,5113000.0,ANNAPURNA.NS
Total Expenses,2021-03-31 00:00:00,192683000.0,ANNAPURNA.NS
Rent Expense Supplemental,2021-03-31 00:00:00,1122000.0,ANNAPURNA.NS
Diluted Average Shares,2021-03-31 00:00:00,16422000.0,ANNAPURNA.NS
