line_item,period,value,symbol
Net Income,2023-03-31 00:00:00,71042000.0,PRECISION.NS
Net Income Including Noncontrolling Interests,2023-03-31 00:00:00,71042000.0,PRECISION.NS
Net Income Extraordinary,2023-03-31 00:00:00,,PRECISION.NS
Net Income Discontinuous Operations,2023-03-31 00:00:00,0.0,PRECISION.NS
Net Income Continuous Operations,2023-03-31 00:00:00,71042000.0,PRECISION.NS
Tax Provision,2023-03-31 00:00:00,2549000.0,PRECISION.NS
Pretax Income,2023-03-31 00:00:00,73592000.0,PRECISION.NS
Other Non Operating Income Expenses,2023-03-31 00:00:00,4297000.0,PRECISION.NS
Special Income Charges,2023-03-31 00:00:00,0.0,PRECISION.NS
Net Non Operating Interest Income Expense,2023-03-31 00:00:00,-4938000.0,PRECISION.NS
Total Other Finance Cost,2023-03-31 00:00:00,581000.0,PRECISION.NS
Interest Expense Non Operating,2023-03-31 00:00:00,4938000.0,PRECISION.NS
Interest Income Non Operating,2023-03-31 00:00:00,4297000.0,PRECISION.NS
Operating Income,2023-03-31 00:00:00,74231000.0,PRECISION.NS
Operating Expense,2023-03-31 00:00:00,64265000.0,PRECISION.NS
Other Operating Expenses,2023-03-31 00:00:00,38503000.0,PRECISION.NS
Depreciation And Amortization In Income Statement,2023-03-31 00:00:00,929000.0,PRECISION.NS
Depreciation Income Statement,2023-03-31 00:00:00,929000.0,PRECISION.NS
Selling General And Administration,2023-03-31 00:00:00,28463000.0,PRECISION.NS
Selling And Marketing Expense,2023-03-31 00:00:00,10000.0,PRECISION.NS
General And Administrative Expense,2023-03-31 00:00:00,28453000.0,PRECISION.NS
Rent And Landing Fees,2023-03-31 00:00:00,7862000.0,PRECISION.NS
Gross Profit,2023-03-31 00:00:00,138496000.0,PRECISION.NS
Cost Of Revenue,2023-03-31 00:00:00,1747792000.0,PRECISION.NS
Total Revenue,2023-03-31 00:00:00,1886288000.0,PRECISION.NS
Operating Revenue,2023-03-31 00:00:00,1886288000.0,PRECISION.NS
Tax Effect Of Unusual Items,2022-03-31 00:00:00,0.0,PRECISION.NS
Tax Rate For Calcs,2022-03-31 00:00:00,0.190307,PRECISION.NS
Normalized EBITDA,2022-03-31 00:00:00,43760000.0,PRECISION.NS
Total Unusual Items,2022-03-31 00:00:00,0.0,PRECISION.NS
Total Unusual Items Excluding Goodwill,2022-03-31 00:00:00,0.0,PRECISION.NS
Net Income From Continuing Operation Net Minority Interest,2022-03-31 00:00:00,34598000.0,PRECISION.NS
Reconciled Depreciation,2022-03-31 00:00:00,1029000.0,PRECISION.NS
Reconciled Cost Of Revenue,2022-03-31 00:00:00,1119546000.0,PRECISION.NS
EBITDA,2022-03-31 00:00:00,43760000.0,PRECISION.NS
EBIT,2022-03-31 00:00:00,42731000.0,PRECISION.NS
Net Interest Income,2022-03-31 00:00:00,539000.0,PRECISION.NS
Interest Expense,2022-03-31 00:00:00,0.0,PRECISION.NS
Interest Income,2022-03-31 00:00:00,706000.0,PRECISION.NS
Normalized Income,2022-03-31 00:00:00,34598000.0,PRECISION.NS
Net Income From Continuing And Discontinued Operation,2022-03-31 00:00:00,34598000.0,PRECISION.NS
Total Expenses,2022-03-31 00:00:00,1213772000.0,PRECISION.NS
Rent Expense Supplemental,2022-03-31 00:00:00,7793000.0,PRECISION.NS
Diluted Average Shares,2022-03-31 00:00:00,16259066.0,PRECISION.NS
Basic Average Shares,2022-03-31 00:00:00,16259066.0,PRECISION.NS
Diluted EPS,2022-03-31 00:00:00,2.13,PRECISION.NS
Basic EPS,2022-03-31 00:00:00,2.13,PRECISION.NS
Diluted NI Availto Com Stockholders,2022-03-31 00:00:00,34598000.0,PRECISION.NS
Net Income Common Stockholders,2022-03-31 00:00:00,34598000.0,PRECISION.NS
Otherunder Preferred Stock Dividend,2022-03-31 00:00:00,0.0,PRECISION.NS
Net Income,2022-03-31 00:00:00,34598000.0,PRECISION.NS
Net Income Including Noncontrolling Interests,2022-03-31 00:00:00,34598000.0,PRECISION.NS
Net Income Extraordinary,2022-03-31 00:00:00,,PRECISION.NS
Net Income Discontinuous Operations,2022-03-31 00:00:00,0.0,PRECISION.NS
Net Income Continuous Operations,2022-03-31 00:00:00,34598000.0,PRECISION.NS
Tax Provision,2022-03-31 00:00:00,8132000.0,PRECISION.NS
Pretax Income,2022-03-31 00:00:00,42731000.0,PRECISION.NS
Other Non Operating Income Expenses,2022-03-31 00:00:00,706000.0,PRECISION.NS
Special Income Charges,2022-03-31 00:00:00,0.0,PRECISION.NS
Net Non Operating Interest Income Expense,2022-03-31 00:00:00,539000.0,PRECISION.NS
Total Other Finance Cost,2022-03-31 00:00:00,167000.0,PRECISION.NS
Interest Expense Non Operating,2022-03-31 00:00:00,0.0,PRECISION.NS
Interest Income Non Operating,2022-03-31 00:00:00,706000.0,PRECISION.NS
Operating Income,2022-03-31 00:00:00,42195000.0,PRECISION.NS
Operating Expense,2022-03-31 00:00:00,94226000.0,PRECISION.NS
Other Operating Expenses,2022-03-31 00:00:00,121000.0,PRECISION.NS
Depreciation And Amortization In Income Statement,2022-03-31 00:00:00,1029000.0,PRECISION.NS
Depreciation Income Statement,2022-03-31 00:00:00,1029000.0,PRECISION.NS
