line_item,period,value,symbol
Diluted NI Availto Com Stockholders,2023-03-31 00:00:00,11247000.0,AJOONI.NS
Net Income Common Stockholders,2023-03-31 00:00:00,11247000.0,AJOONI.NS
Otherunder Preferred Stock Dividend,2023-03-31 00:00:00,0.0,AJOONI.NS
Net Income,2023-03-31 00:00:00,11247000.0,AJOONI.NS
Net Income Including Noncontrolling Interests,2023-03-31 00:00:00,11247000.0,AJOONI.NS
Net Income Discontinuous Operations,2023-03-31 00:00:00,0.0,AJOONI.NS
Net Income Continuous Operations,2023-03-31 00:00:00,11247000.0,AJOONI.NS
Tax Provision,2023-03-31 00:00:00,4522000.0,AJOONI.NS
Pretax Income,2023-03-31 00:00:00,15768000.0,AJOONI.NS
Other Non Operating Income Expenses,2023-03-31 00:00:00,896000.0,AJOONI.NS
Special Income Charges,2023-03-31 00:00:00,-26000.0,AJOONI.NS
Other Special Charges,2023-03-31 00:00:00,1000.0,AJOONI.NS
Write Off,2023-03-31 00:00:00,25000.0,AJOONI.NS
Net Non Operating Interest Income Expense,2023-03-31 00:00:00,-2738000.0,AJOONI.NS
Total Other Finance Cost,2023-03-31 00:00:00,97000.0,AJOONI.NS
Interest Expense Non Operating,2023-03-31 00:00:00,4686000.0,AJOONI.NS
Interest Income Non Operating,2023-03-31 00:00:00,2045000.0,AJOONI.NS
Operating Income,2023-03-31 00:00:00,17635000.0,AJOONI.NS
Operating Expense,2023-03-31 00:00:00,69815000.0,AJOONI.NS
Other Operating Expenses,2023-03-31 00:00:00,13382000.0,AJOONI.NS
Depreciation And Amortization In Income Statement,2023-03-31 00:00:00,10049000.0,AJOONI.NS
Depreciation Income Statement,2023-03-31 00:00:00,10049000.0,AJOONI.NS
Research And Development,2023-03-31 00:00:00,2421000.0,AJOONI.NS
Selling General And Administration,2023-03-31 00:00:00,20491000.0,AJOONI.NS
Selling And Marketing Expense,2023-03-31 00:00:00,15051000.0,AJOONI.NS
General And Administrative Expense,2023-03-31 00:00:00,5440000.0,AJOONI.NS
Rent And Landing Fees,2023-03-31 00:00:00,971000.0,AJOONI.NS
Gross Profit,2023-03-31 00:00:00,87450000.0,AJOONI.NS
Cost Of Revenue,2023-03-31 00:00:00,657427000.0,AJOONI.NS
Total Revenue,2023-03-31 00:00:00,744877000.0,AJOONI.NS
Operating Revenue,2023-03-31 00:00:00,744877000.0,AJOONI.NS
Tax Effect Of Unusual Items,2022-03-31 00:00:00,-737348.504551,AJOONI.NS
Tax Rate For Calcs,2022-03-31 00:00:00,0.282185,AJOONI.NS
Normalized EBITDA,2022-03-31 00:00:00,32313000.0,AJOONI.NS
Total Unusual Items,2022-03-31 00:00:00,-2613000.0,AJOONI.NS
Total Unusual Items Excluding Goodwill,2022-03-31 00:00:00,-2613000.0,AJOONI.NS
Net Income From Continuing Operation Net Minority Interest,2022-03-31 00:00:00,10488000.0,AJOONI.NS
Reconciled Depreciation,2022-03-31 00:00:00,9700000.0,AJOONI.NS
Reconciled Cost Of Revenue,2022-03-31 00:00:00,640134000.0,AJOONI.NS
EBITDA,2022-03-31 00:00:00,29700000.0,AJOONI.NS
EBIT,2022-03-31 00:00:00,20000000.0,AJOONI.NS
Net Interest Income,2022-03-31 00:00:00,-5394000.0,AJOONI.NS
