line_item,period,value,symbol
Net Income Common Stockholders,2023-03-31 00:00:00,38836000.0,SARTELE.NS
Otherunder Preferred Stock Dividend,2023-03-31 00:00:00,0.0,SARTELE.NS
Net Income,2023-03-31 00:00:00,38836000.0,SARTELE.NS
Minority Interests,2023-03-31 00:00:00,0.0,SARTELE.NS
Net Income Including Noncontrolling Interests,2023-03-31 00:00:00,38836000.0,SARTELE.NS
Net Income Continuous Operations,2023-03-31 00:00:00,38836000.0,SARTELE.NS
Tax Provision,2023-03-31 00:00:00,3896000.0,SARTELE.NS
Pretax Income,2023-03-31 00:00:00,42732000.0,SARTELE.NS
Other Non Operating Income Expenses,2023-03-31 00:00:00,546000.0,SARTELE.NS
Special Income Charges,2023-03-31 00:00:00,0.0,SARTELE.NS
Write Off,2023-03-31 00:00:00,0.0,SARTELE.NS
Net Non Operating Interest Income Expense,2023-03-31 00:00:00,-4539000.0,SARTELE.NS
Total Other Finance Cost,2023-03-31 00:00:00,204000.0,SARTELE.NS
Interest Expense Non Operating,2023-03-31 00:00:00,4335000.0,SARTELE.NS
Interest Income Non Operating,2023-03-31 00:00:00,0.0,SARTELE.NS
Operating Income,2023-03-31 00:00:00,46725000.0,SARTELE.NS
Operating Expense,2023-03-31 00:00:00,39833000.0,SARTELE.NS
Other Operating Expenses,2023-03-31 00:00:00,4300000.0,SARTELE.NS
Depreciation And Amortization In Income Statement,2023-03-31 00:00:00,10315000.0,SARTELE.NS
Depreciation Income Statement,2023-03-31 00:00:00,10315000.0,SARTELE.NS
Selling General And Administration,2023-03-31 00:00:00,9106000.0,SARTELE.NS
Selling And Marketing Expense,2023-03-31 00:00:00,4291000.0,SARTELE.NS
General And Administrative Expense,2023-03-31 00:00:00,4815000.0,SARTELE.NS
Rent And Landing Fees,2023-03-31 00:00:00,2428000.0,SARTELE.NS
Gross Profit,2023-03-31 00:00:00,86558000.0,SARTELE.NS
Cost Of Revenue,2023-03-31 00:00:00,238059000.0,SARTELE.NS
Total Revenue,2023-03-31 00:00:00,324617000.0,SARTELE.NS
Operating Revenue,2023-03-31 00:00:00,324617000.0,SARTELE.NS
Tax Effect Of Unusual Items,2022-03-31 00:00:00,0.0,SARTELE.NS
Tax Rate For Calcs,2022-03-31 00:00:00,0.3,SARTELE.NS
Normalized EBITDA,2022-03-31 00:00:00,6385000.0,SARTELE.NS
Total Unusual Items,2022-03-31 00:00:00,0.0,SARTELE.NS
Total Unusual Items Excluding Goodwill,2022-03-31 00:00:00,0.0,SARTELE.NS
Net Income From Continuing Operation Net Minority Interest,2022-03-31 00:00:00,371000.0,SARTELE.NS
Reconciled Depreciation,2022-03-31 00:00:00,4091000.0,SARTELE.NS
Reconciled Cost Of Revenue,2022-03-31 00:00:00,25283000.0,SARTELE.NS
EBITDA,2022-03-31 00:00:00,6385000.0,SARTELE.NS
EBIT,2022-03-31 00:00:00,2294000.0,SARTELE.NS
Net Interest Income,2022-03-31 00:00:00,-2134000.0,SARTELE.NS
Interest Expense,2022-03-31 00:00:00,2021000.0,SARTELE.NS
Interest Income,2022-03-31 00:00:00,34000.0,SARTELE.NS
Normalized Income,2022-03-31 00:00:00,371000.0,SARTELE.NS
Net Income From Continuing And Discontinued Operation,2022-03-31 00:00:00,371000.0,SARTELE.NS
Total Expenses,2022-03-31 00:00:00,40394000.0,SARTELE.NS
Rent Expense Supplemental,2022-03-31 00:00:00,10737000.0,SARTELE.NS
Diluted Average Shares,2022-03-31 00:00:00,17321711.0,SARTELE.NS
Basic Average Shares,2022-03-31 00:00:00,17321711.0,SARTELE.NS
Diluted EPS,2022-03-31 00:00:00,0.021418,SARTELE.NS
Basic EPS,2022-03-31 00:00:00,0.021418,SARTELE.NS
Diluted NI Availto Com Stockholders,2022-03-31 00:00:00,371000.0,SARTELE.NS
Net Income Common Stockholders,2022-03-31 00:00:00,371000.0,SARTELE.NS
Otherunder Preferred Stock Dividend,2022-03-31 00:00:00,0.0,SARTELE.NS
Net Income,2022-03-31 00:00:00,371000.0,SARTELE.NS
Minority Interests,2022-03-31 00:00:00,0.0,SARTELE.NS
Net Income Including Noncontrolling Interests,2022-03-31 00:00:00,371000.0,SARTELE.NS
Net Income Continuous Operations,2022-03-31 00:00:00,371000.0,SARTELE.NS
Tax Provision,2022-03-31 00:00:00,-98000.0,SARTELE.NS
Pretax Income,2022-03-31 00:00:00,273000.0,SARTELE.NS
Other Non Operating Income Expenses,2022-03-31 00:00:00,212000.0,SARTELE.NS
Special Income Charges,2022-03-31 00:00:00,0.0,SARTELE.NS
Write Off,2022-03-31 00:00:00,0.0,SARTELE.NS
Net Non Operating Interest Income Expense,2022-03-31 00:00:00,-2134000.0,SARTELE.NS
Total Other Finance Cost,2022-03-31 00:00:00,147000.0,SARTELE.NS
Interest Expense Non Operating,2022-03-31 00:00:00,2021000.0,SARTELE.NS
Interest Income Non Operating,2022-03-31 00:00:00,34000.0,SARTELE.NS
Operating Income,2022-03-31 00:00:00,2195000.0,SARTELE.NS
Operating Expense,2022-03-31 00:00:00,15111000.0,SARTELE.NS
Other Operating Expenses,2022-03-31 00:00:00,1077000.0,SARTELE.NS
Depreciation And Amortization In Income Statement,2022-03-31 00:00:00,4091000.0,SARTELE.NS
Depreciation Income Statement,2022-03-31 00:00:00,4091000.0,SARTELE.NS
Selling General And Administration,2022-03-31 00:00:00,1214000.0,SARTELE.NS
Selling And Marketing Expense,2022-03-31 00:00:00,550000.0,SARTELE.NS
General And Administrative Expense,2022-03-31 00:00:00,664000.0,SARTELE.NS
