line_item,period,value,symbol
Rent Expense Supplemental,2023-03-31 00:00:00,7569000.0,INDIACEM.NS
Diluted Average Shares,2023-03-31 00:00:00,309896936.0,INDIACEM.NS
Basic Average Shares,2023-03-31 00:00:00,309896936.0,INDIACEM.NS
Diluted EPS,2023-03-31 00:00:00,-4.04,INDIACEM.NS
Basic EPS,2023-03-31 00:00:00,-4.04,INDIACEM.NS
Diluted NI Availto Com Stockholders,2023-03-31 00:00:00,-1268948000.0,INDIACEM.NS
Net Income Common Stockholders,2023-03-31 00:00:00,-1268948000.0,INDIACEM.NS
Otherunder Preferred Stock Dividend,2023-03-31 00:00:00,0.0,INDIACEM.NS
Net Income,2023-03-31 00:00:00,-1268948000.0,INDIACEM.NS
Minority Interests,2023-03-31 00:00:00,-18846000.0,INDIACEM.NS
Net Income Including Noncontrolling Interests,2023-03-31 00:00:00,-1250102000.0,INDIACEM.NS
Net Income Extraordinary,2023-03-31 00:00:00,448092000.0,INDIACEM.NS
Net Income Discontinuous Operations,2023-03-31 00:00:00,0.0,INDIACEM.NS
Net Income Continuous Operations,2023-03-31 00:00:00,-1698194000.0,INDIACEM.NS
Tax Provision,2023-03-31 00:00:00,-2079526000.0,INDIACEM.NS
Pretax Income,2023-03-31 00:00:00,-3777720000.0,INDIACEM.NS
Other Non Operating Income Expenses,2023-03-31 00:00:00,140524000.0,INDIACEM.NS
Special Income Charges,2023-03-31 00:00:00,1949325000.0,INDIACEM.NS
Other Special Charges,2023-03-31 00:00:00,-1949325000.0,INDIACEM.NS
Net Non Operating Interest Income Expense,2023-03-31 00:00:00,-2070091000.0,INDIACEM.NS
Total Other Finance Cost,2023-03-31 00:00:00,109674000.0,INDIACEM.NS
Interest Expense Non Operating,2023-03-31 00:00:00,2107245000.0,INDIACEM.NS
Interest Income Non Operating,2023-03-31 00:00:00,146828000.0,INDIACEM.NS
Operating Income,2023-03-31 00:00:00,-3604286000.0,INDIACEM.NS
Operating Expense,2023-03-31 00:00:00,22594646000.0,INDIACEM.NS
Other Operating Expenses,2023-03-31 00:00:00,377205000.0,INDIACEM.NS
Depreciation And Amortization In Income Statement,2023-03-31 00:00:00,2192698000.0,INDIACEM.NS
Depreciation Income Statement,2023-03-31 00:00:00,2192698000.0,INDIACEM.NS
Selling General And Administration,2023-03-31 00:00:00,16437158000.0,INDIACEM.NS
Selling And Marketing Expense,2023-03-31 00:00:00,14930809000.0,INDIACEM.NS
General And Administrative Expense,2023-03-31 00:00:00,1506349000.0,INDIACEM.NS
Rent And Landing Fees,2023-03-31 00:00:00,7569000.0,INDIACEM.NS
Gross Profit,2023-03-31 00:00:00,18990360000.0,INDIACEM.NS
Cost Of Revenue,2023-03-31 00:00:00,37010100000.0,INDIACEM.NS
Total Revenue,2023-03-31 00:00:00,56000460000.0,INDIACEM.NS
Operating Revenue,2023-03-31 00:00:00,56000460000.0,INDIACEM.NS
Tax Effect Of Unusual Items,2022-03-31 00:00:00,5921314.203002,INDIACEM.NS
Tax Rate For Calcs,2022-03-31 00:00:00,0.22798,INDIACEM.NS
Normalized EBITDA,2022-03-31 00:00:00,5223041000.0,INDIACEM.NS
Total Unusual Items,2022-03-31 00:00:00,25973000.0,INDIACEM.NS
Total Unusual Items Excluding Goodwill,2022-03-31 00:00:00,25973000.0,INDIACEM.NS
Net Income From Continuing Operation Net Minority Interest,2022-03-31 00:00:00,784626000.0,INDIACEM.NS
Reconciled Depreciation,2022-03-31 00:00:00,2255291000.0,INDIACEM.NS
Reconciled Cost Of Revenue,2022-03-31 00:00:00,25040950000.0,INDIACEM.NS
EBITDA,2022-03-31 00:00:00,5249014000.0,INDIACEM.NS
EBIT,2022-03-31 00:00:00,2993723000.0,INDIACEM.NS
Net Interest Income,2022-03-31 00:00:00,-1764204000.0,INDIACEM.NS
Interest Expense,2022-03-31 00:00:00,2139129000.0,INDIACEM.NS
Interest Income,2022-03-31 00:00:00,115256000.0,INDIACEM.NS
Normalized Income,2022-03-31 00:00:00,764574314.203002,INDIACEM.NS
Net Income From Continuing And Discontinued Operation,2022-03-31 00:00:00,784626000.0,INDIACEM.NS
Total Expenses,2022-03-31 00:00:00,45983093000.0,INDIACEM.NS
Rent Expense Supplemental,2022-03-31 00:00:00,6661000.0,INDIACEM.NS
Diluted Average Shares,2022-03-31 00:00:00,309896936.0,INDIACEM.NS
Basic Average Shares,2022-03-31 00:00:00,309896936.0,INDIACEM.NS
Diluted EPS,2022-03-31 00:00:00,8.98,INDIACEM.NS
Basic EPS,2022-03-31 00:00:00,8.98,INDIACEM.NS
Diluted NI Availto Com Stockholders,2022-03-31 00:00:00,784626000.0,INDIACEM.NS
Net Income Common Stockholders,2022-03-31 00:00:00,784626000.0,INDIACEM.NS
Otherunder Preferred Stock Dividend,2022-03-31 00:00:00,0.0,INDIACEM.NS
Net Income,2022-03-31 00:00:00,784626000.0,INDIACEM.NS
Minority Interests,2022-03-31 00:00:00,-87281000.0,INDIACEM.NS
Net Income Including Noncontrolling Interests,2022-03-31 00:00:00,871907000.0,INDIACEM.NS
Net Income Extraordinary,2022-03-31 00:00:00,,INDIACEM.NS
Net Income Discontinuous Operations,2022-03-31 00:00:00,0.0,INDIACEM.NS
Net Income Continuous Operations,2022-03-31 00:00:00,871907000.0,INDIACEM.NS
Tax Provision,2022-03-31 00:00:00,194830000.0,INDIACEM.NS
Pretax Income,2022-03-31 00:00:00,854594000.0,INDIACEM.NS
Other Non Operating Income Expenses,2022-03-31 00:00:00,89005000.0,INDIACEM.NS
Special Income Charges,2022-03-31 00:00:00,1049000.0,INDIACEM.NS
Other Special Charges,2022-03-31 00:00:00,-1049000.0,INDIACEM.NS
Net Non Operating Interest Income Expense,2022-03-31 00:00:00,-1764204000.0,INDIACEM.NS
Total Other Finance Cost,2022-03-31 00:00:00,-259669000.0,INDIACEM.NS
Interest Expense Non Operating,2022-03-31 00:00:00,2139129000.0,INDIACEM.NS
Interest Income Non Operating,2022-03-31 00:00:00,115256000.0,INDIACEM.NS
Operating Income,2022-03-31 00:00:00,2599920000.0,INDIACEM.NS
Operating Expense,2022-03-31 00:00:00,20942143000.0,INDIACEM.NS
Other Operating Expenses,2022-03-31 00:00:00,194670000.0,INDIACEM.NS
Depreciation And Amortization In Income Statement,2022-03-31 00:00:00,2255291000.0,INDIACEM.NS
Depreciation Income Statement,2022-03-31 00:00:00,2255291000.0,INDIACEM.NS
Selling General And Administration,2022-03-31 00:00:00,15081632000.0,INDIACEM.NS
Selling And Marketing Expense,2022-03-31 00:00:00,13712118000.0,INDIACEM.NS
General And Administrative Expense,2022-03-31 00:00:00,1369514000.0,INDIACEM.NS
Rent And Landing Fees,2022-03-31 00:00:00,6661000.0,INDIACEM.NS
Gross Profit,2022-03-31 00:00:00,23542063000.0,INDIACEM.NS
Cost Of Revenue,2022-03-31 00:00:00,25040950000.0,INDIACEM.NS
Total Revenue,2022-03-31 00:00:00,48583013000.0,INDIACEM.NS
Operating Revenue,2022-03-31 00:00:00,48583013000.0,INDIACEM.NS
Tax Effect Of Unusual Items,2021-03-31 00:00:00,-11286647.831432,INDIACEM.NS
Tax Rate For Calcs,2021-03-31 00:00:00,0.329018,INDIACEM.NS
Normalized EBITDA,2021-03-31 00:00:00,8309906000.0,INDIACEM.NS
Total Unusual Items,2021-03-31 00:00:00,-34304000.0,INDIACEM.NS
Total Unusual Items Excluding Goodwill,2021-03-31 00:00:00,-34304000.0,INDIACEM.NS
Net Income From Continuing Operation Net Minority Interest,2021-03-31 00:00:00,2067643000.0,INDIACEM.NS
Reconciled Depreciation,2021-03-31 00:00:00,2465972000.0,INDIACEM.NS
Reconciled Cost Of Revenue,2021-03-31 00:00:00,19926524000.0,INDIACEM.NS
EBITDA,2021-03-31 00:00:00,8275602000.0,INDIACEM.NS
EBIT,2021-03-31 00:00:00,5809630000.0,INDIACEM.NS
Net Interest Income,2021-03-31 00:00:00,-2490202000.0,INDIACEM.NS
Interest Expense,2021-03-31 00:00:00,2703041000.0,INDIACEM.NS
Interest Income,2021-03-31 00:00:00,219927000.0,INDIACEM.NS
Normalized Income,2021-03-31 00:00:00,2090660352.168568,INDIACEM.NS
Net Income From Continuing And Discontinued Operation,2021-03-31 00:00:00,2067643000.0,INDIACEM.NS
Total Expenses,2021-03-31 00:00:00,39537451000.0,INDIACEM.NS
Rent Expense Supplemental,2021-03-31 00:00:00,6489000.0,INDIACEM.NS
Diluted Average Shares,2021-03-31 00:00:00,309896936.0,INDIACEM.NS
Basic Average Shares,2021-03-31 00:00:00,309896936.0,INDIACEM.NS
Diluted EPS,2021-03-31 00:00:00,7.01,INDIACEM.NS
Basic EPS,2021-03-31 00:00:00,7.01,INDIACEM.NS
Diluted NI Availto Com Stockholders,2021-03-31 00:00:00,2067643000.0,INDIACEM.NS
Net Income Common Stockholders,2021-03-31 00:00:00,2067643000.0,INDIACEM.NS
Otherunder Preferred Stock Dividend,2021-03-31 00:00:00,0.0,INDIACEM.NS
Net Income,2021-03-31 00:00:00,2067643000.0,INDIACEM.NS
Minority Interests,2021-03-31 00:00:00,-24056000.0,INDIACEM.NS
Net Income Including Noncontrolling Interests,2021-03-31 00:00:00,2091699000.0,INDIACEM.NS
Net Income Extraordinary,2021-03-31 00:00:00,7200000.0,INDIACEM.NS
Net Income Discontinuous Operations,2021-03-31 00:00:00,0.0,INDIACEM.NS
Net Income Continuous Operations,2021-03-31 00:00:00,2091699000.0,INDIACEM.NS
Tax Provision,2021-03-31 00:00:00,1022125000.0,INDIACEM.NS
Pretax Income,2021-03-31 00:00:00,3106589000.0,INDIACEM.NS
Other Non Operating Income Expenses,2021-03-31 00:00:00,57421000.0,INDIACEM.NS
Special Income Charges,2021-03-31 00:00:00,-58307000.0,INDIACEM.NS
Other Special Charges,2021-03-31 00:00:00,58307000.0,INDIACEM.NS
Net Non Operating Interest Income Expense,2021-03-31 00:00:00,-2490202000.0,INDIACEM.NS
Total Other Finance Cost,2021-03-31 00:00:00,7088000.0,INDIACEM.NS
Interest Expense Non Operating,2021-03-31 00:00:00,2703041000.0,INDIACEM.NS
Interest Income Non Operating,2021-03-31 00:00:00,219927000.0,INDIACEM.NS
Operating Income,2021-03-31 00:00:00,5567559000.0,INDIACEM.NS
Operating Expense,2021-03-31 00:00:00,19610927000.0,INDIACEM.NS
Other Operating Expenses,2021-03-31 00:00:00,310811000.0,INDIACEM.NS
Depreciation And Amortization In Income Statement,2021-03-31 00:00:00,2465972000.0,INDIACEM.NS
Depreciation Income Statement,2021-03-31 00:00:00,2465972000.0,INDIACEM.NS
Selling General And Administration,2021-03-31 00:00:00,13446745000.0,INDIACEM.NS
Selling And Marketing Expense,2021-03-31 00:00:00,12358214000.0,INDIACEM.NS
General And Administrative Expense,2021-03-31 00:00:00,1088531000.0,INDIACEM.NS
Rent And Landing Fees,2021-03-31 00:00:00,6489000.0,INDIACEM.NS
Gross Profit,2021-03-31 00:00:00,25178486000.0,INDIACEM.NS
Cost Of Revenue,2021-03-31 00:00:00,19926524000.0,INDIACEM.NS
Total Revenue,2021-03-31 00:00:00,45105010000.0,INDIACEM.NS
Operating Revenue,2021-03-31 00:00:00,45105010000.0,INDIACEM.NS
